experiment,setting,exact_match,token_f1,gold_hit,n_questions
rerank,no_rerank,0.015,0.36829047529067543,0.325,200.0
rerank,with_rerank,0.035,0.3961100858590509,0.345,200.0
topk,final_k=1,0.025,0.3116124645447213,0.255,200.0
topk,final_k=3,0.015,0.36829047529067543,0.325,200.0
topk,final_k=5,0.03,0.38683527980039323,0.34,200.0
prompt,default,0.015,0.36829047529067543,0.325,200.0
prompt,bullets,0.05,0.3679886215587026,0.33,200.0
prompt,strict_cite,0.015,0.3545041752865689,0.285,200.0
truncation,head,0.03,0.31452886462583973,0.25,200.0
truncation,tail,0.03,0.26593585474243014,0.18,200.0
truncation,middle,0.025,0.25270117789542956,0.195,200.0
